Maturity,Price,Coupon
06/15/2019,100.006,0.875
06/30/2019,99.976,1.25
06/30/2019,99.967,1
06/30/2019,100.002,1.625
07/15/2019,99.89,0.75
07/31/2019,99.944,1.625
07/31/2019,99.842,0.875
07/31/2019,99.912,1.375
08/15/2019,99.769,0.75
08/15/2019,100.284,3.625
08/15/2019,101.163,8.125
08/31/2019,99.741,1
08/31/2019,99.798,1.25
08/31/2019,99.885,1.625
09/15/2019,99.683,0.875
09/30/2019,99.656,1
09/30/2019,99.889,1.75
09/30/2019,99.779,1.375
10/15/2019,99.624,1
10/31/2019,99.757,1.5
10/31/2019,99.67,1.25
11/15/2019,100.535,3.375
11/15/2019,99.534,1
11/30/2019,99.822,1.75
11/30/2019,99.476,1
11/30/2019,99.709,1.5
12/15/2019,99.603,1.375
12/31/2019,99.459,1.125
12/31/2019,99.874,1.875
12/31/2019,99.738,1.625
01/15/2020,99.589,1.375
01/15/2020,100.128,1.375
01/31/2020,99.564,1.375
01/31/2020,99.49,1.25
01/31/2020,99.967,2
02/15/2020,101.044,3.625
02/15/2020,99.537,1.375
02/15/2020,104.474,8.5
02/29/2020,100.135,2.25
02/29/2020,99.515,1.375
02/29/2020,99.435,1.25
03/15/2020,99.687,1.625
03/31/2020,99.458,1.375
03/31/2020,99.29,1.125
03/31/2020,100.182,2.25
04/15/2020,99.566,1.5
04/15/2020,99.242,0.125
04/30/2020,100.308,2.375
04/30/2020,99.224,1.125
04/30/2020,99.445,1.375
05/15/2020,99.55,1.5
05/15/2020,101.384,3.5
05/15/2020,106.373,8.75
05/31/2020,99.419,1.375
05/31/2020,99.54,1.5
05/31/2020,100.502,2.5
06/15/2020,99.54,1.5
06/30/2020,99.634,1.625
06/30/2020,99.902,1.875
06/30/2020,100.554,2.5
07/15/2020,99.501,1.5
07/15/2020,100.937,1.25
07/31/2020,99.626,1.625
07/31/2020,100.748,2.625
07/31/2020,100.064,2
08/15/2020,100.79,2.625
08/15/2020,99.486,1.5
08/15/2020,107.994,8.75
08/31/2020,99.314,1.375
08/31/2020,100.217,2.125
08/31/2020,100.82,2.625
09/15/2020,99.305,1.375
09/30/2020,99.267,1.375
09/30/2020,100.072,2
09/30/2020,101.033,2.75
10/15/2020,99.583,1.625
10/31/2020,99.236,1.375
10/31/2020,99.748,1.75
10/31/2020,101.279,2.875
11/15/2020,99.748,1.75
11/15/2020,100.998,2.625
11/30/2020,99.566,1.625
11/30/2020,101.195,2.75
11/30/2020,100.128,2
12/15/2020,99.941,1.875
12/31/2020,100.9,2.5
12/31/2020,99.763,1.75
12/31/2020,100.716,2.375
01/15/2021,100.155,2
01/15/2021,100.984,1.125
01/31/2021,100.961,2.5
01/31/2021,100.369,2.125
01/31/2021,99.169,1.375
02/15/2021,100.59,2.25
02/15/2021,102.88,3.625
02/15/2021,109.957,7.875
02/28/2021,101.04,2.5
02/28/2021,98.728,1.125
02/28/2021,100.207,2
03/15/2021,100.875,2.375
03/31/2021,100.672,2.25
03/31/2021,98.91,1.25
04/15/2021,100.933,2.375
04/15/2021,99.242,0.125
04/30/2021,100.736,2.25
04/30/2021,99.125,1.375
05/15/2021,101.465,2.625
05/15/2021,102.441,3.125
05/15/2021,111.879,8.125
05/31/2021,100.308,2
05/31/2021,99.105,1.375
05/31/2021,100.557,2.125
06/15/2021,101.591,2.625
06/30/2021,100.599,2.125
06/30/2021,98.615,1.125
07/15/2021,101.623,2.625
07/15/2021,100.818,0.625
07/31/2021,100.88,2.25
07/31/2021,98.537,1.125
08/15/2021,101.958,2.75
08/15/2021,100.638,2.125
08/15/2021,113.469,8.125
08/31/2021,100.372,2
08/31/2021,98.486,1.125
09/15/2021,102.087,2.75
09/30/2021,100.689,2.125
09/30/2021,98.484,1.125
10/15/2021,102.396,2.875
10/31/2021,98.679,1.25
10/31/2021,100.427,2
