Maturity,Price,Coupon
11/15/2021,102.498,2.875
11/15/2021,114.609,8
11/15/2021,100.461,2
11/30/2021,99.828,1.75
11/30/2021,100.129,1.875
12/15/2021,102.029,2.625
12/31/2021,100.785,2.125
12/31/2021,100.492,2
01/15/2022,101.724,2.5
01/15/2022,99.56,0.125
01/31/2022,100.137,1.875
01/31/2022,99.199,1.5
02/15/2022,101.794,2.5
02/15/2022,100.5,2
02/28/2022,100.146,1.875
02/28/2022,99.832,1.75
03/15/2022,101.553,2.375
03/31/2022,99.844,1.75
03/31/2022,100.208,1.875
04/15/2022,101.208,2.25
04/15/2022,99.379,0.125
04/30/2022,100.16,1.875
04/30/2022,99.824,1.75
05/15/2022,99.824,1.75
05/15/2022,100.897,2.125
05/31/2022,99.81,1.75
05/31/2022,100.176,1.875
06/30/2022,100.926,2.125
06/30/2022,99.843,1.75
07/15/2022,99.895,0.125
07/31/2022,100.171,1.875
07/31/2022,100.562,2
08/15/2022,99.402,1.625
08/15/2022,116.777,7.25
08/31/2022,99.396,1.625
08/31/2022,100.178,1.875
09/30/2022,99.793,1.75
09/30/2022,100.203,1.875
10/31/2022,100.601,2
10/31/2022,100.199,1.875
11/15/2022,99.374,1.625
11/15/2022,119.343,7.625
11/30/2022,100.608,2
12/31/2022,101.058,2.125
01/15/2023,99.586,0.125
01/31/2023,99.734,1.75
01/31/2023,101.926,2.375
02/15/2023,100.621,2
02/15/2023,118.898,7.125
02/28/2023,98.828,1.5
02/28/2023,102.866,2.625
03/31/2023,98.801,1.5
03/31/2023,102.476,2.5
04/15/2023,101.359,0.625
04/30/2023,99.234,1.625
04/30/2023,103.437,2.75
05/15/2023,99.711,1.75
05/31/2023,99.203,1.625
05/31/2023,103.505,2.75
06/30/2023,98.211,1.375
06/30/2023,103.099,2.625
07/15/2023,100.992,0.375
07/31/2023,97.68,1.25
07/31/2023,103.632,2.75
08/15/2023,102.668,2.5
08/15/2023,117.781,6.25
08/31/2023,103.693,2.75
08/31/2023,98.137,1.375
09/30/2023,98.069,1.375
09/30/2023,104.272,2.875
